procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 477476 31085344  11724 94178912   82  222 27594  1819 2668    1  2  1 97  0  0  0
 1  0 477472 33459820  13172 91429752    4    0 91736    84 3937 2385  1  4 94  1  0  0
 2  0 477472 33080504  13176 91593220    0    0 163788     0 6824 5465  3  5 91  1  0  0
 2  1 477472 32586520  13176 92097720    0    0 503516     0 13257 12861  0  7 90  2  0  0
 1  1 477472 32069456  13176 92620160    0    0 522212     8 13019 10339  0  8 90  3  0  0
 1  0 477472 30497960  13176 94188204    0    0 1568096     0 16749 15878  0  5 93  2  0  0
 1  0 477472 26974888  13184 97701236    0    0 3513208    56 19976 18812  0  3 95  2  0  0
 0  1 477472 24177416  13184 100491576    0    0 2790272     0 15515 14059  0  2 95  3  0  0
 0  1 477472 22584620  13184 102079608    0    0 1588100     0 10941 9912  0  2 95  3  0  0
 0  1 477472 20609724  13184 104047772    0    0 1968164     0 12189 11310  0  2 95  3  0  0
 1  0 477472 18468224  13184 106183816    0    0 2136076     0 13538 11178  0  2 95  3  0  0
 0  1 477472 15689612  13192 108955996    0    0 2771700    48 16337 15478  0  3 95  3  0  0
 0  1 477472 13480664  13196 111157972    0    0 2202608     0 17606 12157  0  3 95  2  0  0
 1  0 477472 11202580  13196 113429076    0    0 2271056     0 20917 13791  0  3 95  2  0  0
 1  1 477472 9297892  13196 115326256    4    0 1896892     0 19917 19085  0  3 95  2  0  0
 1  1 477472 8837404  13196 115782192    0    0 456504     0 9246 6655  0  7 90  3  0  0
 1  0 477468 8492184  13204 116113096 6364    0 336912    48 10198 8861  0  6 91  3  0  0
 1  0 477468 6306132  13204 116479480    0    0 366488     0 6657 5645  0  3 95  3  0  0
 2  0 477468 7281680  13148 107473352    0    0     0     0 2661  491  0  9 91  0  0  0
 1  0 477468 7279336  12556 89976928    0    0   136     0 2992 1162  0  7 93  0  0  0
 1  0 477468 7205396  12556 68524364    0    0     0     0 2509 1016  0  6 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 477464 7282584  12564 55225152    4    0     4    48 2825  874  0  8 92  0  0  0
 3  0 477396 9449340  12564 51886660   60    0  1277     0 3037  671  0  9 91  0  0  0
 3  0 477392 9041160  12632 52016024    0    0 129424     0 5459 3837  2  7 90  0  0  0
 4  0 477388 8818972  12632 52240684   88    0 224600     0 7553 6844  5  6 89  0  0  0
 1  1 477388 8457428  12632 52602956    0    0 362272     0 7707 6387  4  7 89  1  0  0
 2  0 477388 8259904  12640 52792568    4    0 189880    48 6931 6115  5  6 89  0  0  0
 2  0 477388 8041224  12640 53012344   92    0 220124     0 7615 6942  5  6 89  0  0  0
 2  0 477296 7563288  12640 53491892   28    0 479832     0 8714 7076  4  7 89  1  0  0
 2  0 477296 7341276  12640 53714100    0    0 221696     0 8043 7167  5  6 89  0  0  0
 1  0 477296 7064360  12640 53981620    0    0 267520     0 7460 6828  5  2 93  0  0  0
 1  0 477296 6790708  12648 54251964    0    0 270592    48 8100 7326  5  2 93  0  0  0
 1  0 477296 6250180  12648 54830100    0    0 577880     0 8184 7173  4  2 94  0  0  0
 3  0 477296 5975284  12648 55101716    0    0 271872     0 6466 6327  5  2 93  0  0  0
 1  1 477296 5232792  12648 55839832    0    0 737860     0 6795 5896  3  2 94  1  0  0
 1  1 477296 3964436  12652 57107684    0    0 1267344   100 7806 6143  1  2 94  2  0  0
 3  0 477296 3581420   6712 57509628    0    4 402728    92 5989 2106  0  8 91  0  0  0
 4  0 477516 3568700   7008 57633440    0  876 679872   876 8326 4869  2  9 88  1  0  0
 4  0 477624 4160628   7104 57041860    0   28 86628    28 6788 3480  5  9 86  0  0  0
 3  0 477628 4750508   7104 56452920    8  228 94468   228 7806 3927  5 10 85  0  0  0
 2  0 477640 5298872   7104 55905896   32  192 103780   192 7106 4196  5  9 86  0  0  0
 3  0 477632 6029708   7064 55174004   16    0 84724    56 6289 3450  5  9 86  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 477632 6757096   7064 54445500    0    0 63168     0 5378 2255  5  9 86  0  0  0
 2  0 477632 7408232   7064 53794712    0    0 96124     0 4680 1612  3 10 88  0  0  0
 2  0 477632 7658444   7064 53543780    0    0 347424     0 5543 1063  0 13 87  0  0  0
 2  0 477620 8316420   7060 52886132   32    0 79072     0 3675  638  0 10 90  0  0  0
 2  0 477624 8878040   7068 52324736    0    4 76588    52 3746  651  0 10 90  0  0  0
 2  0 477632 9386716   7044 51815296   36   12 71288    12 3439  653  0 10 90  0  0  0
 3  0 477660 9341592   7044 51860616    0   32 51464    32 4068 1221  2  9 89  0  0  0
 3  0 477660 9957972   6924 51244256    0    0 47056     0 5535 1656  5  9 86  0  0  0
 2  0 477660 10150640   6912 51051860    0    0 107008     0 6171 3731  5  6 88  0  0  0
 3  0 477648 9887820   6920 51183180   28    0 131572    76 5477 4024  5  6 89  0  0  0
 2  0 477648 9233368   6920 51953884    0    0 770812     0 9316 6856  4  7 89  0  0  0
 3  0 477648 8934080   6920 52131824    0    0 177604     0 5887 4480  5  6 89  0  0  0
 2  0 477648 8736036   6920 52328436    0    0 196608     0 6889 6025  5  6 89  0  0  0
 3  0 477648 8518432   6920 52538148    0    0 210288     0 6988 6313  4  7 89  0  0  0
 2  0 477648 8288072   6928 52766904    0    0 228176    52 7516 6852  5  6 89  0  0  0
 3  0 477648 8064996   6928 52992444    0    0 226048     0 7560 6833  5  6 89  0  0  0
 3  0 477648 7853308   6928 53202044    0    0 209500     0 7557 6317  4  7 89  0  0  0
 2  0 477648 7600108   6928 53457404    0    0 254716     0 7826 6930  5  2 93  0  0  0
 1  0 477648 7349948   6928 53702856    0    0 244916     0 5545 4913  5  2 94  0  0  0
