procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 473284 14456056  62160 110745328   82  222 28881  1802 2660    1  2  1 97  0  0  0
 2  0 473284 13843424  62160 110791348    0    0  1464     0 3580 1222  3  6 91  0  0  0
 0  1 473284 11926396  62164 112691908    0    0 1900772     8 10405 8685  1  4 92  3  0  0
 0  1 473284 10009228  62164 114774276    0    0 5527808     0 24480 27912  0  3 95  2  0  0
 1  0 473280 9770072  62164 114999328    4    0 5391108     0 24685 18485  0  3 95  2  0  0
 3  0 473280 10192304  62168 114560428    0    0 6450176     0 27042 16692  0  5 95  1  0  0
 1  0 473280 10689540  62172 114048520    0    0 6376448   100 26693 17679  0  5 95  1  0  0
 0  1 473280 9667528  62172 115016688    0    0 4460376     0 20104 9671  0  5 95  0  0  0
 1  0 473280 9304524  62172 115366572    0    0 2075120     0 11036 5364  0  5 95  1  0  0
 2  0 473272 8873564  62172 115734000    8    0 2099592     0 10955 4808  0  5 94  1  0  0
 2  1 473272 8338296  62180 116173760    0    0 439344    48 12560 11377  0  9 90  1  0  0
 1  0 473272 7917904  62180 116579360    0    0 405148     0 11734 9993  0  5 94  0  0  0
 1  0 473272 7295132  62180 117187360    0    0 607416     0 14487 13151  0  4 95  1  0  0
 0  1 473272 6499352  62180 117971864    0    0 784036    64 18528 14258  0  4 95  1  0  0
 1  1 473272 5600916  62180 118860504    0    0 887752     0 21788 16147  0  4 95  1  0  0
 1  0 473272 4645856  62180 119806208    0    0 945220     0 20206 16411  0  4 95  1  0  0
 0  1 473268 3695088  62188 120751864    0    0 944332    48 22183 18082  0  4 95  1  0  0
 3  0 473268 3870048  62188 116053036    0    0 662768     0 14982 11729  0  4 95  1  0  0
 2  0 473268 4334160  62188 94427708    0    0     0     0 2341  778  0  7 93  0  0  0
 2  0 473368 6595008  62148 92048408    0  824   464   824 4832  944  0 12 88  0  0  0
 3  0 473756 6924808  61584 91484896    0  980   300   980 5410  755  0 14 86  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 473836 7281904  30120 90712828    0  548  6024   620 5423 2570  0 13 86  0  0  0
